x,y
24.46585360726708202606,54.60371435434632303441
24.46585360732675340500,54.60371435410777962716
24.46585360785108775872,54.60371435426645803091
24.46585360835722866568,54.60371435381093618844
24.46585360834257372176,54.60371435418043972732
24.46585360824517607625,54.60371435438682397034
24.46585360919313956174,54.60371435397335204698
24.46585360930701824600,54.60371435472968215663
24.46585360946176024299,54.60371435410787910314
24.46585360997019975571,54.60371435424803365777
24.46585361023331017805,54.60371435421004804311
24.46585361049524820487,54.60371435407149931507
24.46585361103231548441,54.60371435420555030760
24.46585361112679279927,54.60371435409388851667
24.46585361119535662056,54.60371435408870866013
24.46585361208412834344,54.60371435420419317097
24.46585361262762248202,54.60371435440884368973
24.46585361274429004652,54.60371435405260598372
24.46585361278773618210,54.60371435408276141743
24.46585361817891168812,54.60371437276058514954
24.46585361887524712188,54.60371437294485730263
24.46585361983273898545,54.60371437312055320490
24.46585361983710171785,54.60371437277713368985
24.46585362023460774594,54.60371437336845445998
24.46585362055397894210,54.60371437330224608786
24.46585362087750681326,54.60371437320147691707
24.46585362159014209738,54.60371437321666832077
24.46585362166358024183,54.60371437342247702418
24.46585362232885074718,54.60371437404624828105
24.46585362237921756901,54.60371437361354196582
24.46585362325716062060,54.60371437361562385604
24.46585362356384152349,54.60371437375216885357
24.46585362404884378407,54.60371437372411662636
24.46585362483643777409,54.60371437347778567073
24.46585362483730463623,54.60371437370834257763
24.46585362535192231803,54.60371437451974685473
24.46585362583243750123,54.60371437409035166866
24.46585362648712091982,54.60371437416414153176
24.46585362699149257537,54.60371437425138196886
24.46585362154000620194,54.60371438326982485023
24.46585362222158721579,54.60371438291885937133
24.46585362289386011980,54.60371438344451178182
24.46585362346607084305,54.60371438407667454840
24.46585362394624141302,54.60371438365730512032
24.46585362411748576505,54.60371438400608923303
24.46585362472017877167,54.60371438434110302751
24.46585362520150042087,54.60371438436730073818
24.46585362540683306065,54.60371438422945544744
24.46585362612859526621,54.60371438461701387723
24.46585362682843012294,54.60371438507916508343
24.46585362676040986685,54.60371438500130381044
24.46585362739160984802,54.60371438509236696746
24.46585362770165517077,54.60371438484321515716
24.46585362823989129311,54.60371438530099652553
24.46585362853735290400,54.60371438480875383448
24.46585362896973947500,54.60371438522146547712
24.46585362991563528112,54.60371438567599255975
24.46585362990953527174,54.60371438536500932059
24.46585363014212077815,54.60371438562167156761
24.46585363345135988311,54.60371439055551689989
24.46585363328964390917,54.60371439070711119257
24.46585363434853022113,54.60371439121321657240
